url,headline,datetime,fact_check_details,organization,caa
https://www.vishvasnews.com/viral/fact-check-fireball-did-not-fall-from-the-sky-in-the-village-of-nalanda/,Fact Check : नालंदा के गांव में आसमान से नहीं गिरा आग का गोला,28-Mar-20,Claim Review : दावा किया गया कि नालंदा के एक गांव में आसमान से आग का गोला गिरा,Vishvas News,No
https://www.vishvasnews.com/society/fact-check-post-going-viral-claiming-no-license-required-for-gun-nirbheek-is-fake/,Fact Check: महिलाओं के लिए बनी ‘निर्भीक’ रिवॉल्वर के लिए जरूरी है लाइसेंस,3-Dec-19,Claim Review : बिना लाइसेंस मिलेगी 'निर्भीक' गन,Vishvas News,No
https://www.vishvasnews.com/english/health/fact-check-post-claiming-101-year-old-woman-delivered-a-baby-is-fake/,Fact Check: Post claiming 101-year-old woman delivered a baby is fake,4-Dec-19,Claim Review : 101-year-old woman delivered a baby,Vishvas News,No
https://www.vishvasnews.com/english/health/fact-check-can-consuming-wax-coated-apples-kill-you-misleading-video-getting-viral/,Fact Check: Can consuming wax-coated apples kill you? Misleading video getting viral,6-Jan-20,Claim Review : Waxed apples are harmful for health and can kill you,Vishvas News,No
https://www.vishvasnews.com/english/health/fact-check-post-claiming-tongue-exercise-cures-alzheimers-and-other-illnesses-is-misleading/,Fact Check: Post claiming tongue exercise cures Alzheimer’s and other illnesses is misleading,23-Dec-19,Claim Review : Tongue exercise cures Alzheimer's and other illnesses,Vishvas News,No
https://www.vishvasnews.com/english/health/fact-check-no-this-home-made-mixture-cannot-cure-cancer-in-3-days/,"        Fact Check: No, this home-made mixture cannot cure cancer in 3 days      ",3-Dec-19,Claim Review : This home-made mixture can cure cancer in 3 days,Vishvas News,No
https://www.vishvasnews.com/viral/fact-check-11-different-women-gave-birth-to-these-infants-not-a-single-woman/,"        Fact Check: तस्वीर में दिख रहे 11 बच्चों को एक महिला ने नहीं, अलग-अलग महिलाओं ने जन्म दिया था      ",14-Feb-20,Claim Review : उत्तर प्रदेश के बाराबंकी जिला हॉस्पिटल में डिलीवरी हुई सफल एक युवती ने 11 पुत्रों को दिया जन्म विश्व की यह प्रथम घटना सभी हुए पुत्र सभी सुरक्षित,Vishvas News,No
https://www.vishvasnews.com/english/health/fact-check-does-the-5-second-rule-really-exist-it-is-a-myth/,"        Fact Check: Does the 5-second rule really exist? No, it is a myth      ",14-Dec-19,Claim Review : 5 second rule: You can eat a food within 5 seconds of its dropping on floor,Vishvas News,No
https://www.vishvasnews.com/english/viral/fact-check-nasa-recorded-suns-sound-it-didnt-chant-om-misleading-post-getting-viral/,"        Fact Check: NASA recorded Sun’s sound, it didn’t chant ‘Om’, misleading post getting viral      ",8-Jan-20,Claim Review : NASA recorded Sun's sound and it chanted Om,Vishvas News,No
https://www.vishvasnews.com/english/health/fact-check-post-claiming-wild-aubergine-can-cure-any-type-of-cancer-is-fake/,Fact Check: Post claiming wild aubergine can cure any type of cancer is fake,19-Dec-19,Claim Review : wild aubergine can cure any type of cancer,Vishvas News,No
https://www.vishvasnews.com/politics/fact-check-fake-statement-of-akshay-kumar-about-nathuram-godse-being-viral-on-social-media/,Fact Check: नाथूराम गोडसे को लेकर अक्षय कुमार का फर्जी बयान हो रहा वायरल,5-Dec-19,Claim Review : इतिहास की किताब में पढाया जाए गोडसे का बयान,Vishvas News,No
https://www.vishvasnews.com/politics/fact-check-fake-death-rumour-of-shahadra-dcp-amit-sharma-who-injured-in-delhi-riots/,"        Fact Check: DCP अमित शर्मा दीर्घायु हों, उनसे जुड़ी मौत की खबर झूठी है      ",26-Feb-20,Claim Review : शहीद DCP अमित शर्मा शहीद हो गए।,Vishvas News,No
https://www.vishvasnews.com/english/health/fact-check-no-dettol-didnt-test-the-2019-novel-coronavirus-strains-misleading-post-getting-viral/,"        Fact Check: No, Dettol didn’t test the 2019 Novel Coronavirus Strains, misleading post getting viral      ",7-Feb-20,Claim Review : Dettol kills coronavirus,Vishvas News,No
https://www.vishvasnews.com/viral/fact-check-photo-of-girl-begging-in-bangladesh-is-geeting-viral-in-india-with-wrong-claim/,"        Fact Check: बच्ची की यह तस्वीर भारत की नहीं, बांग्लादेश की है      ",21-Jan-20,Claim Review : इस छोटी सी खूबसूरत लड़की को जौनपुर में भिखारियों के एक समूह के साथ देखा गया। कृपया आगे बढ़ें जब तक कि वह सही माता-पिता तक न पहुंच जाए और उसकी पहचान हो जाए।,Vishvas News,No
https://www.vishvasnews.com/society/fact-check-viral-going-post-having-tweet-of-bbc-claiming-about-caa-protest-is-fake/,Fact Check: BBC हिंदी के नाम से फ़र्ज़ी ट्वीट सोशल मीडिया पर हो रहा है वायरल,24-Dec-19,Claim Review : BBC के नाम से उपद्रवी घटना को लेकर वायरल हो रहा ट्वीट,Vishvas News,No
https://www.vishvasnews.com/punjabi/society/fact-check-post-claiming-a-person-died-in-amritsar-due-to-corona-virus-is-fake/,"        Fact Check: ਅੰਮ੍ਰਿਤਸਰ ਵਿਚ ਕੋਰੋਨਾ ਵਾਇਰਸ ਤੋਂ ਨਹੀਂ, ਸਵਾਈਨ ਫਲੂ ਤੋਂ ਹੋਈ ਸੀ ਬੱਚੇ ਦੀ ਮੌਤ      ",4-Feb-20,"Claim Review : ਅੰਮ੍ਰਿਤਸਰ ਵਿਚ ਕੋਰੋਨਾ ਵਾਇਰਸ ਦਾ ਕਹਿਰ, ਜਸਵੰਤ ਸਿੰਘ ਨਾਮਕ ਵਿਅਕਤੀ ਦੀ ਹੋਈ ਮੌਤ।",Vishvas News,No
https://www.vishvasnews.com/english/health/fact-check-the-post-claiming-that-a-woman-delivered-17-babies-at-once-is-fake/,Fact Check: The post claiming that a woman delivered 17 babies at once is fake,24-Jan-20,Claim Review : A woman delivered 17 babies once,Vishvas News,No
https://www.vishvasnews.com/english/health/fact-check-post-claiming-china-seeks-courts-approval-to-kill-20000-coronavirus-patients-is-fake/,Fact Check: Post claiming China seeks court’s approval to kill 20000 coronavirus patients is fake,12-Feb-20,Claim Review : China seeks court's approval to kill 20000 coronavirus patients,Vishvas News,No
https://www.vishvasnews.com/english/health/fact-check-post-claiming-gargling-with-warm-salt-water-can-save-from-coronavirus-is-fake/,Fact Check: Post claiming gargling with warm salt water can save from coronavirus is fake,20-Mar-20,Claim Review : Gargling with warm salt water can save from coronavirus,Vishvas News,No
https://www.vishvasnews.com/english/health/fact-check-no-holding-your-breath-for-10-seconds-isnt-a-coronavirus-self-check-test/,"        Fact Check: No, holding your breath for 10 seconds isn’t a Coronavirus ‘Self-Check Test’      ",21-Mar-20,Claim Review : This is a self-check test for coronavirus,Vishvas News,No
https://www.vishvasnews.com/politics/fact-check-no-rbi-did-not-issue-rs-350-new-note-edited-image-viral-on-social-media/,"        Fact Check: RBI ने नहीं जारी किया 350 रुपये का नया नोट, फर्जी तस्वीर हो रही वायरल      ",20-Dec-19,Claim Review : RBI ने जारी किया 350 रुपये का नया नोट,Vishvas News,No
https://www.vishvasnews.com/society/fact-check-viral-going-image-of-elephant-carrying-lion-cub-was-just-a-april-fool-joke/,"        Fact Check: हाथी ने नहीं उठाया था शेर का बच्चा, वायरल तस्वीर अप्रैल फूल का मजाक था      ",26-Dec-19,Claim Review : हाथी ने उठाया हुआ था शेर का बच्चा,Vishvas News,No
https://www.vishvasnews.com/viral/quick-fact-check-ladli-foundation-is-not-going-to-sponser-poor-girls-wedding-fake-post-going-viral/,"        Quick Fact Check: लाडली फाउंडेशन ट्रस्ट नहीं उठाती गरीब बेटियों की शादी का खर्चा, गलत पोस्ट फिर हो रही वायरल      ",7-Jan-20,"Claim Review : ऐसे परिवार जो अपनी बेटी की शादी का खर्च उठाने में असमर्थ हैं, वे अपनी मर्ज़ी से अपनी बेटी का रिश्ता तय करने के बाद नीचे दिए नंबर पर संपर्क करें। शादी का पूरा खर्च लाड़ली फाउंडेशन द्वारा किया जाएगा",Vishvas News,No
https://www.vishvasnews.com/english/health/quick-fact-check-fake-post-on-spotting-a-camel-in-image-to-detect-alzheimers-resurfaces/,Quick Fact Check: Fake post on spotting a camel in image to detect Alzheimer’s resurfaces,14-Jan-20,Claim Review : Spot a camel in image to detect Alzheimer's,Vishvas News,No
https://www.vishvasnews.com/english/health/fact-check-giving-birth-cant-be-measured-in-del-pain-is-subjective-fake-post-getting-viral/,"        Fact Check: Giving birth can’t be measured in del, pain is subjective, fake post getting viral      ",20-Dec-19,"Claim Review : A mother, while giving birth, feels up to 57 DEL of pain which is equal to 20 bones getting fractured",Vishvas News,No
https://www.vishvasnews.com/english/health/fact-check-no-bitter-guard-juice-cannot-cure-novel-coronavirus-health-experts-refute-the-viral-claim/,"        Fact Check: No, bitter gourd juice cannot cure novel coronavirus, health experts refute the viral claim      ",25-Mar-20,"Claim Review : Bitter guard juice can cure novel coronavirus, as per Bihar Health Department",Vishvas News,No
https://www.vishvasnews.com/english/health/fact-check-post-claiming-that-burning-camphor-and-inhaling-the-smell-combats-air-pollution-is-misleading/,Fact Check: Post claiming that burning camphor and inhaling the smell combats air pollution is misleading,6-Dec-19,Claim Review : Burning camphor and inhaling the smell combats air pollution,Vishvas News,No
https://www.vishvasnews.com/politics/fact-check-rahul-gandhi-did-not-salute-the-national-flag-with-his-left-hand-edited-image-viral/,"        Fact Check : राहुल गांधी की फोटो पलटकर किया जा रहा है झूठा दावा, दाएं हाथ से दी थी तिरंगे को सलामी      ",28-Jan-20,Claim Review : दावा किया जा रहा है कि राहुल गांधी ने बाएं हाथ से तिरंगे को किया सलाम,Vishvas News,No
https://www.vishvasnews.com/punjabi/viral/fact-check-bhagat-singh-death-sentenced-announced-on-7-october-1930-not-on-14-feb-1931/,"        Fact Check: 14 ਫਰਵਰੀ ਨੂੰ ਨਹੀਂ, 7 ਅਕਤੂਬਰ 1930 ਨੂੰ ਸੁਣਾਈ ਗਈ ਸੀ ਭਗਤ ਸਿੰਘ, ਰਾਜਗੁਰੂ ਤੇ ਸੁਖਦੇਵ ਨੂੰ ਫਾਂਸੀ ਦੀ ਸਜ਼ਾ      ",14-Feb-20,"Claim Review : 14 ਫਰਵਰੀ 1931 ਨੂੰ ਸੁਣਾਈ ਗਈ ਸੀ ਭਗਤ ਸਿੰਘ, ਰਾਜਗੁਰੂ ਤੇ ਸੁਖਦੇਵ ਨੂੰ ਫਾਂਸੀ ਦੀ ਸਜ਼ਾ",Vishvas News,No
https://www.vishvasnews.com/politics/fact-check-woman-in-this-photo-is-not-parle-ji-girl-she-is-infosys-foundation-chairman-sudha-murthy/,Quick Fact Check:  इन्फ़ोसिस फाउंडेशन की चेयरमैन सुधा मूर्ति की तस्वीर फिर से पारले जी गर्ल के नाम से वायरल,4-Feb-20,Claim Review :  आप जानते हो पारले-जी में जो छोटी सी लड़की है उसका नाम नीरू देशपांडे है। वो तबकी फोटो है जब वो सिर्फ 4 साल की थीं। और अभी उनकी आगे 65 है।,Vishvas News,No
https://www.vishvasnews.com/viral/fact-check-post-showing-blue-colored-fruit-named-moon-melon-is-fake-there-is-no-such-fruit-2/,"        Fact Check: मून मेलन जैसा कोई फल नहीं होता, वायरल तस्वीर फर्जी है      ",17-Dec-19,Claim Review : मून मेलन फल होता है,Vishvas News,No
