url,headline,datetime,organization,caa
https://www.boomlive.in/fake-news/pakistani-twitter-handles-peddle-madhya-pradesh-lynching-video-as-delhi-7064,Pakistani Twitter Handles Peddle Madhya Pradesh Lynching Video As Delhi,2/29/20,Boomlive,Yes
https://www.boomlive.in/fast-check/did-italian-president-surrender-to-coronavirus-outbreak-fake-quote-viral-7391,Did Italian President 'Surrender' To Coronavirus Outbreak? Fake Quote Viral,3/27/20,Boomlive,No
https://www.boomlive.in/fake-news/poster-claiming-fix-rate-for-shaheen-bagh-protesters-is-morphed-6604,Poster Claiming 'Fix Rate' For Shaheen Bagh Protesters Is Morphed,1/19/20,Boomlive,Yes
https://www.boomlive.in/world/coronavirus/false-salt-or-vinegar-warm-water-gargle-eliminates-the-coronavirus-7329,False: Salt Or Vinegar Warm Water Gargle Eliminates The Coronavirus,3/23/20,Boomlive,No
https://www.boomlive.in/fact-file/republic-day-tableau-controversy-why-non-bjp-states-are-upset-6473,Republic Day Tableau Controversy: Why Non-BJP States Are Upset,1/4/20,Boomlive,No
https://www.boomlive.in/factcheck/did-aligarh-muslim-university-students-raise-anti-hindu-slogans-a-factcheck-6303,Did Aligarh Muslim University Students Raise Anti Hindu Slogans? A FactCheck,12/16/19,Boomlive,Yes
https://www.boomlive.in/fake-news/public-execution-of-rape-accused-in-yemen-viral-as-dubai-6200,Public Execution Of Rape Accused In Yemen Viral As Dubai,12/4/19,Boomlive,No
https://www.boomlive.in/fake-news/morphed-screenshot-of-aap-mla-amanatullah-khans-tweet-goes-viral-6875,Morphed Screenshot Of AAP MLA Amanatullah Khan's Tweet Goes Viral,2/13/20,Boomlive,Yes
https://www.boomlive.in/fake-news/fake-news-around-delhi-riots-and-other-news-you-almost-believed,Fake News Around Delhi Riots And Other News You Almost Believed,3/1/20,Boomlive,Yes
https://www.boomlive.in/fake-news/are-lawyers-exempt-from-paying-toll-on-highways-a-factcheck-6288,Are Lawyers Exempt From Paying Toll On Highways? A FactCheck,12/13/19,Boomlive,No
https://www.boomlive.in/fake-news/video-of-lenins-statue-pulled-down-peddled-as-ambedkars-statue-6692,Video Of Lenin's Statue Pulled Down Peddled As Ambedkar's Statue,1/28/20,Boomlive,No
https://www.boomlive.in/world/coronavirus/consuming-silver-particles-does-not-prevent-or-treat-covid-19-7244,Consuming Silver Particles Does Not Prevent Or Treat COVID-19,3/16/20,Boomlive,No
https://www.boomlive.in/world/were-dead-bodies-left-on-wuhan-streets-after-the-coronavirus-outbreak-7057,Were Dead Bodies Left On Wuhan Streets After The Coronavirus Outbreak?,2/28/20,Boomlive,No
https://www.boomlive.in/factcheck/did-pilibhit-police-organise-a-rally-during-janta-curfew-a-factcheck-7335,Did Pilibhit Police Organise A Rally During Janta Curfew? A FactCheck,3/24/20,Boomlive,No
https://www.boomlive.in/fake-news/jnu-student-aishe-ghosh-faked-a-hand-injury-a-factcheck-6535,JNU Student Aishe Ghosh Faked A Hand Injury? A FactCheck,1/10/20,Boomlive,Yes
https://www.boomlive.in/world/did-a-street-disinfection-for-coronavirus-in-china-cause-a-rainbow-6967,Did A Street Disinfection For Coronavirus In China Cause A Rainbow?,2/22/20,Boomlive,No
https://www.boomlive.in/world/coronavirus/did-china-ban-korans-during-the-coronavirus-outbreak-a-factcheck-7376,Did China Ban Korans During The Coronavirus Outbreak? A FactCheck.,3/26/20,Boomlive,No
https://www.boomlive.in/fake-news/are-the-obamas-getting-a-divorce-satire-story-goes-viral-6755,Are The Obamas Getting A Divorce? Satire Story Goes Viral,2/4/20,Boomlive,No
https://www.boomlive.in/world/coronavirus/false-posts-in-sri-lanka-claim-poultry-infected-with-coronavirus-7249,False Posts In Sri Lanka Claim Poultry Infected With Coronavirus,3/17/20,Boomlive,No
https://www.boomlive.in/fake-news/jnu-violence-unrelated-photos-of-sex-toys-condoms-go-viral-6481,"JNU Violence: Unrelated Photos Of Sex Toys, Condoms Go Viral",1/6/20,Boomlive,Yes
https://www.boomlive.in/fake-news/marathi-newspaper-lokmat-falls-for-fake-covid-19-bioweapon-story-7446,Marathi Newspaper Lokmat Falls For Fake COVID-19 Bioweapon Story,3/30/20,Boomlive,No
https://www.boomlive.in/fast-check/india-in-lockdown-hoax-claiming-government-snooping-on-messages-revived-7351,India In Lockdown: Hoax Claiming Government Snooping On Messages Revived,3/25/20,Boomlive,No
https://www.boomlive.in/world/coronavirus/false-report-claims-water-ablution-ritual-kills-the-novel-coronavirus-7292,False Report Claims Water Ablution Ritual Kills The Novel Coronavirus,3/20/20,Boomlive,No
https://www.boomlive.in/factcheck/video-of-couple-paraded-naked-in-rajasthan-shared-with-fake-claim-6231,Video Of Couple Paraded Naked In Rajasthan Shared With Fake Claim,12/9/19,Boomlive,No
https://www.boomlive.in/fake-news/kapil-mishra-supporters-photo-falsely-viral-as-delhi-violence-gunman-7015,Photo Of Kapil Mishra's Supporter Falsely Shared As Delhi Violence Gunman,2/25/20,Boomlive,Yes
https://www.boomlive.in/fact-vs-fiction/us-observes-february-19th-as-world-chhatrapati-shivaji-day-6618,U.S. Observes February 19th As 'World Chhatrapati Shivaji Day'?,1/21/20,Boomlive,No
https://www.boomlive.in/fake-news/fake-al-jazeera-correspondents-anti-hindu-remark-angers-twitter-users-7154,Fake Al Jazeera Correspondent's Anti-Hindu Remark Angers Twitter Users,3/7/20,Boomlive,No
